open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
3184.72,3245.7,3243.38,3171.04,436486.91,57.49,1.8,3206.98,3224.891,3276.193,466580.63,519385.75,689135.89
3188.96,3205.57,3185.89,3168.9,357104.5,22.66,0.72,3216.576,3231.929,3264.517,488090.75,546149.09,688645.58
3178.05,3194.14,3163.23,3136.03,376274.56,4.94,0.16,3236.76,3248.143,3252.326,505693.81,587225.04,684298.15
3265.52,3270.56,3158.29,3136.64,606381.38,-125.82,-3.83,3261.698,3270.832,3240.439,556533.98,629621.77,681726.11
3263.07,3303.43,3284.11,3224.51,556655.81,-7.25,-0.22,3267.218,3290.181,3229.698,534155.9,648030.15,666496.83
3278.74,3354.72,3291.36,3273.81,544037.5,4.55,0.14,3242.802,3305.972,3211.763,572190.88,677299.01,652434.1
3302.72,3305.2,3286.81,3272.47,445119.81,-1.11,-0.03,3247.282,3319.83,3193.29,604207.44,714352.47,643863.72
3219.92,3293.63,3287.92,3189.47,630475.38,102.03,3.2,3259.526,3329.325,3175.246,668756.26,778464.63,640176.41
3181.7,3223.54,3185.89,3151.22,494491.0,23.86,0.76,3279.966,3337.947,3155.298,702709.56,837584.96,622469.79
3313.56,3326.69,3162.03,3162.03,746830.69,-151.73,-4.58,3313.144,3335.274,3140.06,761904.4,866345.28,608867.55
3363.92,3374.29,3313.76,3303.15,704120.31,-34.27,-1.02,3369.142,3327.495,3125.908,782407.14,858886.02,583635.18
3374.07,3391.9,3348.03,3310.89,767863.94,-42.09,-1.24,3392.378,3297.105,3102.151,824497.5,831142.06,563084.41
3338.71,3421.94,3390.12,3327.7,800241.88,38.34,1.14,3399.124,3256.509,3078.955,888172.99,781371.26,541739.19
3404.0,3411.09,3351.78,3338.59,790465.19,-90.24,-2.62,3395.928,3210.045,3053.275,972460.36,733830.45,516226.37
3426.6,3451.93,3442.02,3403.73,849344.38,12.08,0.35,3357.404,3169.214,3031.11,970786.16,684963.5,488061.94
3378.11,3466.63,3429.94,3371.59,914572.12,48.18,1.43,3285.848,3117.554,3005.424,935364.9,627569.19,457795.16
3438.86,3465.47,3381.76,3381.76,1086241.38,7.62,0.23,3201.832,3066.749,2979.406,837786.61,573374.97,426716.87
3198.74,3384.87,3374.14,3198.74,1221678.75,214.98,6.8,3113.894,3021.167,2955.136,674569.53,501888.19,383039.65
3101.39,3159.17,3159.16,3101.26,782094.19,74.92,2.43,3024.162,2972.649,2930.597,495200.54,407354.62,332903.08
3005.36,3088.96,3084.24,3003.78,672238.06,74.38,2.47,2981.024,2944.846,2917.094,399140.84,351389.81,307718.86
2950.49,3010.36,3009.86,2941.38,426680.69,67.79,2.3,2949.26,2924.321,2907.178,319773.49,308384.34,287458.92
2933.93,2951.12,2942.07,2928.68,270155.97,16.59,0.57,2931.666,2907.196,2900.203,308963.32,295026.77,280341.61
2935.54,2942.49,2925.48,2909.45,324833.78,-17.99,-0.61,2928.44,2901.401,2893.433,329206.85,302107.11,277569.33
2928.52,2947.19,2943.47,2926.84,301795.72,18.05,0.62,2921.136,2896.504,2887.642,319508.7,298622.28,272799.32
2913.01,2929.8,2925.42,2902.12,275401.28,3.53,0.12,2908.668,2893.005,2880.242,303638.78,291160.37,267589.51
2921.3,2947.61,2921.89,2912.49,372629.84,-4.05,-0.14,2899.382,2893.293,2874.413,296995.19,288021.13,262874.65
2891.31,2933.9,2925.94,2888.92,371373.62,36.98,1.28,2882.726,2892.063,2867.804,281090.21,280058.77,253580.62
2872.17,2892.12,2888.96,2860.5,276343.03,7.83,0.27,2874.362,2889.104,2860.298,275007.38,264191.11,247997.59
2879.85,2882.1,2881.13,2864.16,222446.12,2.14,0.07,2871.872,2888.544,2858.191,277735.86,258451.54,243716.02
2867.71,2879.53,2878.99,2861.01,242183.33,40.38,1.42,2877.342,2889.342,2856.941,278681.97,264047.9,242568.32
2862.49,2875.03,2838.61,2838.61,293104.97,-45.51,-1.58,2887.204,2890.035,2856.025,279047.06,266533.51,241811.92
2840.8,2884.99,2884.12,2837.55,340959.44,7.61,0.27,2901.4,2893.21,2855.953,279027.32,265656.46,238470.1
2899.49,2907.66,2876.51,2867.2,289985.44,-31.97,-1.1,2903.846,2885.464,2852.732,253374.84,253031.54,231157.42
2925.17,2925.17,2908.48,2905.21,227176.66,-19.82,-0.68,2905.216,2878.779,2850.633,239167.21,246976.37,226567.32
2911.95,2931.54,2928.3,2905.84,244008.8,18.71,0.64,2901.342,2867.479,2848.594,249413.83,244018.66,224371.31
2907.68,2925.2,2909.59,2904.03,293006.28,13.24,0.46,2892.866,2855.533,2845.659,254019.96,237728.18,222835.95
2886.23,2896.35,2896.35,2871.87,212697.02,12.99,0.45,2885.02,2843.545,2843.772,252285.59,227102.48,220840.13
2900.96,2902.9,2883.36,2876.44,218947.3,-5.75,-0.2,2867.082,2831.491,2842.605,252688.24,231804.08,223723.87
2900.87,2922.78,2889.11,2889.08,278409.75,3.19,0.11,2852.342,2827.837,2841.158,254785.52,228980.49,224727.5
2864.53,2890.81,2885.92,2862.68,267039.44,15.56,0.54,2833.616,2824.54,2839.895,238623.48,221088.75,228536.91
2832.22,2873.05,2870.36,2832.22,284334.44,63.7,2.27,2818.2,2822.015,2838.695,221436.41,217090.32,230379.46
2791.62,2813.82,2806.66,2788.87,214710.27,-3.0,-0.11,2802.07,2818.696,2837.417,201919.37,211283.74,228877.81
2797.37,2830.46,2809.66,2785.32,229433.72,14.18,0.51,2795.9,2819.999,2838.341,210919.92,209283.3,231684.41
2810.47,2814.56,2795.48,2790.84,197599.53,-13.36,-0.48,2803.332,2822.486,2838.119,203175.46,206158.27,231786.29
2806.25,2811.83,2808.84,2796.85,181104.09,19.13,0.69,2815.464,2829.709,2837.146,203554.02,204723.97,231863.7
2784.43,2789.82,2789.71,2762.3,186749.23,13.9,0.5,2825.83,2835.785,2836.587,212744.23,207943.71,235073.28
2840.88,2841.11,2775.81,2775.31,259713.02,-71.01,-2.49,2835.322,2843.999,2837.314,220648.12,214577.78,236083.1
2866.74,2867.91,2846.82,2844.14,190711.45,-9.32,-0.33,2844.098,2853.719,2837.75,207646.67,215643.66,235569.29
2861.59,2864.67,2856.14,2847.26,199492.3,-4.53,-0.16,2841.64,2854.479,2836.398,209141.07,220474.51,239847.49
